x ,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,
1,0.22000,0.20500,0.18333,0.20500,0.16600,0.19667,0.20571,0.20250,0.20667,0.21500,0.20273,0.21750,0.20462,0.18714,0.19067,0.21563,0.20176,0.19389,0.18000,0.19600,0.18810,0.19909,0.20391,0.21875,0.20040,0.20115,0.20667,0.19536,0.20172,0.21167,0.20032,0.19313,0.20030,0.20147,0.20029,0.20278,0.19000,0.20632,0.19667,0.19525,0.19878,0.20190,0.20140,0.20545,0.19978,0.19696,0.19745,0.19771,0.20102,0.20980,0.19922,0.19365,0.19906,0.19556,0.20000,0.19554,0.19877,0.20655,0.20169,0.20083,0.20049,0.19452,0.20190,0.19906,0.20492,0.19394,0.20000,0.19971,0.19971,0.20171,0.20225,0.19806,0.19671,0.20135,0.19827,0.19868,0.19662,0.20103,0.20329,0.20350,0.19827,0.20268,0.20602,0.19869,0.20165,0.20535,0.20287,0.20284,0.19944,0.19867,0.19692,0.20457,0.20237,0.19904,0.19421,0.19500,0.19897,0.19480,0.19768,0.19950,
2,0.26000,0.21000,0.21000,0.21500,0.19600,0.22167,0.22000,0.19125,0.20333,0.21600,0.19636,0.20500,0.20692,0.19786,0.19467,0.19563,0.20824,0.19778,0.20947,0.20650,0.20524,0.19636,0.18826,0.19083,0.19840,0.18885,0.18963,0.20821,0.19621,0.19933,0.19903,0.20750,0.19818,0.20735,0.20114,0.21194,0.19892,0.20316,0.20821,0.20725,0.20512,0.20095,0.19953,0.20250,0.20867,0.19848,0.20000,0.20271,0.20490,0.19440,0.20784,0.20442,0.20132,0.19722,0.19836,0.20054,0.19754,0.19517,0.19712,0.20200,0.19918,0.20242,0.19730,0.20391,0.19985,0.20545,0.19806,0.20706,0.20159,0.19886,0.19592,0.20111,0.20329,0.19149,0.19453,0.20961,0.19831,0.19910,0.19709,0.20450,0.19457,0.19768,0.19506,0.19619,0.19694,0.20151,0.19977,0.20068,0.19730,0.20278,0.19593,0.20185,0.20645,0.20170,0.19874,0.19740,0.19990,0.19786,0.19192,0.20200,
3,0.21000,0.20000,0.20667,0.19750,0.18800,0.18333,0.17857,0.19500,0.18556,0.20100,0.21091,0.19833,0.20077,0.19714,0.19867,0.20375,0.19000,0.19444,0.19684,0.20000,0.20476,0.20500,0.20043,0.19500,0.18960,0.20115,0.21222,0.20214,0.20034,0.19233,0.20871,0.20250,0.20242,0.19912,0.19857,0.20028,0.20135,0.20711,0.20308,0.20325,0.20293,0.20333,0.19581,0.20182,0.20911,0.19457,0.20213,0.20563,0.19878,0.19860,0.19902,0.20000,0.19849,0.20241,0.20327,0.19982,0.20070,0.20690,0.19915,0.20717,0.20443,0.20306,0.19968,0.20250,0.20692,0.19818,0.20328,0.20235,0.20174,0.19786,0.20408,0.20236,0.19329,0.19865,0.20160,0.19947,0.20143,0.20795,0.19684,0.19738,0.19765,0.19451,0.19880,0.19798,0.20435,0.19930,0.20586,0.20330,0.20236,0.20078,0.20736,0.20185,0.20387,0.20457,0.20179,0.19938,0.20320,0.19745,0.20586,0.19970,
4,0.21000,0.24000,0.20667,0.20250,0.20200,0.21500,0.21429,0.18125,0.19778,0.23500,0.17909,0.19250,0.18769,0.19929,0.19333,0.18500,0.18706,0.18278,0.18737,0.19750,0.20000,0.19227,0.19696,0.20958,0.20280,0.20154,0.19444,0.20143,0.20138,0.19167,0.19419,0.20969,0.20485,0.20353,0.20057,0.20361,0.20378,0.20316,0.20179,0.20650,0.20390,0.19429,0.18907,0.20591,0.19911,0.20370,0.20234,0.20021,0.20224,0.20420,0.20157,0.20250,0.19868,0.20648,0.20291,0.20679,0.20439,0.19914,0.18932,0.20667,0.19934,0.19839,0.20206,0.19750,0.20000,0.20652,0.20821,0.20676,0.19536,0.19614,0.19831,0.20125,0.19808,0.20392,0.19853,0.19316,0.19234,0.19705,0.20063,0.20163,0.20568,0.20171,0.20530,0.19893,0.19965,0.19593,0.20391,0.19534,0.19719,0.20089,0.19385,0.20033,0.20409,0.20106,0.19305,0.19938,0.19938,0.20163,0.19667,0.20170,
5,0.20000,0.21000,0.20333,0.21250,0.21600,0.18500,0.19571,0.21000,0.18111,0.20100,0.19545,0.18917,0.20308,0.19357,0.19467,0.20125,0.20294,0.18944,0.19842,0.20850,0.19048,0.19318,0.20435,0.20292,0.20800,0.20808,0.20778,0.20786,0.19828,0.19600,0.19613,0.20500,0.21000,0.19706,0.19571,0.19250,0.21135,0.21500,0.19513,0.20125,0.19488,0.19167,0.19163,0.20432,0.19956,0.19783,0.19851,0.19896,0.19857,0.20240,0.20529,0.19327,0.19377,0.19852,0.20236,0.19946,0.19789,0.20603,0.19695,0.20367,0.20262,0.20048,0.19968,0.20109,0.20615,0.20439,0.19299,0.20279,0.19420,0.19629,0.20225,0.19764,0.20000,0.20743,0.20267,0.19908,0.20286,0.19949,0.20215,0.19875,0.19716,0.20183,0.19494,0.19464,0.20012,0.20256,0.20540,0.20011,0.20539,0.20211,0.20143,0.20043,0.19570,0.19213,0.19821,0.19438,0.20103,0.19929,0.20495,0.19800,
Avg,0.22000,0.21300,0.20200,0.20650,0.19360,0.20033,0.20286,0.19600,0.19489,0.21360,0.19691,0.20050,0.20062,0.19500,0.19440,0.20025,0.19800,0.19167,0.19442,0.20170,0.19771,0.19718,0.19878,0.20342,0.19984,0.20015,0.20215,0.20300,0.19959,0.19820,0.19968,0.20356,0.20315,0.20171,0.19926,0.20222,0.20108,0.20695,0.20097,0.20270,0.20112,0.19843,0.19549,0.20400,0.20324,0.19830,0.20009,0.20104,0.20110,0.20188,0.20259,0.19877,0.19826,0.20004,0.20138,0.20043,0.19986,0.20276,0.19685,0.20407,0.20121,0.19977,0.20013,0.20081,0.20357,0.20170,0.20051,0.20374,0.19852,0.19817,0.20056,0.20008,0.19827,0.20057,0.19912,0.20000,0.19831,0.20092,0.20000,0.20115,0.19867,0.19968,0.20002,0.19729,0.20054,0.20093,0.20356,0.20045,0.20034,0.20104,0.19910,0.20180,0.20249,0.19970,0.19720,0.19710,0.20049,0.19820,0.19941,0.20018,
