x ,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,
1,12.48000,12.24000,10.88000,11.64000,11.61600,12.16000,12.06857,11.58000,12.74667,11.95200,12.17455,12.56000,12.14769,12.61714,11.93600,12.09000,12.42353,12.05333,10.48421,12.60000,11.81714,12.06545,11.87478,11.98000,12.17280,11.64923,11.82222,12.22286,12.04966,11.87200,12.44903,11.22000,11.95636,11.64706,12.15086,12.32000,12.14270,12.25263,11.72923,12.08400,11.85951,11.96571,11.19628,12.37091,12.11733,12.09391,11.91830,11.86000,12.11755,11.85600,12.01882,11.84308,11.77358,11.57333,12.06109,12.12000,11.90737,12.05793,11.95932,11.91200,11.69311,11.98452,12.32000,12.10500,11.93354,11.85455,12.05731,11.80235,12.17391,11.84914,12.24338,12.08667,11.90137,11.92865,12.06400,11.97474,12.01247,12.08000,12.00000,11.91600,12.04741,11.89463,12.05783,11.88571,11.90400,11.94419,12.16000,11.64000,12.19416,11.79200,11.88923,11.77565,12.08258,12.04596,11.88379,12.17500,11.87134,11.76490,11.99030,11.94720,
2,13.44000,12.00000,10.40000,12.96000,11.04000,11.36000,12.89143,11.76000,12.10667,13.20000,11.82545,12.00000,11.77846,12.41143,11.61600,12.45000,12.14118,12.45333,11.87368,12.45600,11.01714,13.09091,12.16696,11.98000,12.36480,11.33538,12.40889,12.20571,11.68552,12.28800,11.78323,12.19500,12.16000,12.21176,12.08229,12.22667,12.15568,12.36632,12.20923,11.84400,12.30439,11.85143,11.87721,12.36000,12.01067,11.94783,11.94894,12.36000,12.13714,11.76000,11.98118,12.04615,11.61962,12.01778,12.15709,12.06000,11.85684,11.73517,11.78034,11.84800,11.84262,11.87613,11.89333,12.20250,12.10338,11.95636,12.26507,12.21882,12.31304,11.92457,11.96620,12.24667,11.96055,11.56541,12.08320,12.06947,12.00000,11.85846,11.54430,12.09000,11.96444,11.91220,11.89012,12.03429,11.72329,11.97767,12.04966,11.76545,11.98382,11.77600,11.99473,12.18783,12.28387,12.29106,11.89895,11.92000,11.91093,12.16163,11.93697,11.92320,
3,13.92000,11.52000,11.04000,10.80000,12.86400,11.92000,12.48000,11.76000,12.64000,11.85600,11.38909,12.48000,11.40923,12.06857,12.03200,11.70000,12.36706,12.50667,11.97474,12.02400,12.54857,12.08727,12.20870,11.84000,11.61600,12.62769,12.44444,12.03429,11.58621,11.85600,12.03097,12.49500,11.97091,12.22588,11.98629,12.77333,11.81838,11.77263,12.16000,11.91600,12.50341,11.90857,12.35721,11.97818,12.02133,12.06261,12.12255,11.72000,11.91184,11.75040,11.69882,12.20308,11.82792,11.74222,11.63345,12.29143,11.90737,11.85103,11.56881,12.47200,12.03148,12.03871,12.07619,11.92500,12.20677,12.11636,12.02149,11.75294,12.01391,11.82857,12.27042,11.90000,11.88164,11.66270,12.17920,11.90526,11.96883,12.43077,11.96962,11.75400,11.81037,12.40976,12.06940,11.96571,12.14682,11.65953,11.90069,12.40364,11.97303,11.80267,12.44308,12.19304,11.90710,12.07660,12.17179,12.09500,11.87629,11.92653,12.00000,12.22080,
4,12.00000,12.24000,12.48000,10.68000,11.04000,11.44000,11.72571,11.82000,12.85333,12.96000,11.38909,12.12000,11.37231,12.75429,11.48800,11.19000,12.11294,11.33333,11.97474,12.02400,12.06857,11.71636,11.74957,12.44000,12.07680,12.64615,11.78667,11.96571,11.50345,11.80800,12.18581,12.46500,12.33455,11.88706,11.90400,11.65333,11.71459,11.62105,12.22154,12.03600,12.12878,12.57143,12.29023,12.18545,12.01067,12.19826,12.57191,11.46000,11.73551,11.82720,12.13176,12.10154,12.14491,12.08889,12.00873,12.25714,12.08421,12.12414,11.86169,12.16000,11.71672,12.05419,12.03810,12.02250,12.02215,11.65818,12.12179,12.26118,12.22957,12.10286,12.12169,12.06667,11.95397,12.01297,12.09600,12.24000,11.63221,11.76615,11.95139,12.17400,12.29037,12.03512,11.86699,11.98857,12.19765,11.47535,12.23172,11.90182,11.71955,12.25600,11.78374,12.02087,12.32000,12.00511,11.59074,12.00500,12.00990,12.05388,11.84970,12.24000,
5,11.52000,12.24000,12.16000,11.40000,12.00000,10.72000,11.86286,12.30000,11.46667,11.95200,11.69455,11.40000,12.62769,12.17143,12.51200,11.55000,12.25412,12.08000,11.67158,12.00000,12.43429,11.80364,11.74957,12.50000,11.44320,11.85231,12.19556,12.66857,12.03310,11.66400,11.72129,12.13500,12.52364,11.94353,11.62971,12.13333,12.32432,12.17684,12.59077,12.14400,11.56683,11.80571,11.94419,12.16364,12.23467,12.20870,12.25532,12.26000,12.31347,11.96160,11.93412,12.11077,11.81887,12.04444,11.84291,12.18000,12.14316,12.14069,12.08949,12.45600,12.06295,11.88387,12.12190,11.91750,12.23631,12.28364,11.95701,11.75294,11.74261,11.95886,12.16901,11.52667,11.82904,12.03892,12.16640,12.04421,11.78805,12.03077,11.94532,11.73600,11.71556,11.84195,11.98265,12.09143,12.00000,11.92186,11.72966,12.30545,11.82742,12.04267,12.22154,11.94783,11.77806,11.93362,11.78274,11.99000,11.84165,11.92653,12.05333,11.90880,
Avg,12.67200,12.04800,11.39200,11.49600,11.71200,11.52000,12.20571,11.84400,12.36267,12.38400,11.69455,12.11200,11.86708,12.40457,11.91680,11.79600,12.25976,12.08533,11.59579,12.22080,11.97714,12.15273,11.94991,12.14800,11.93472,12.02215,12.13156,12.21943,11.77159,11.89760,12.03406,12.10200,12.18909,11.98306,11.95063,12.22133,12.03114,12.03789,12.18215,12.00480,12.07259,12.02057,11.93302,12.21164,12.07893,12.10226,12.16340,11.93200,12.04310,11.83104,11.95294,12.06092,11.83698,11.89333,11.94065,12.18171,11.97979,11.98179,11.85193,12.16960,11.86938,11.96748,12.08990,12.03450,12.10043,11.97382,12.08454,11.95765,12.09461,11.93280,12.15414,11.96533,11.90532,11.84173,12.11776,12.04674,11.88031,12.03323,11.88213,11.93400,11.96563,12.01873,11.97340,11.99314,11.99435,11.79572,12.01434,12.00327,11.93960,11.93387,12.06646,12.02504,12.07432,12.07047,11.86560,12.03700,11.90202,11.96669,11.96606,12.04800,
