n,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,Średnia
Test 1,2176,9857,22241,39547,63688,92163,122586,159472,193324,259265,305660,365879,438635,492495,560828,650478,720187,809343,895273,1004320,1095642,1209153,1357868,1442787,1568753,1659404,1774721,1945722,2131271,2281847,2399278,2576658,2715039,2898266,3028530,3246468,3403235,3635633,3865965,4011772,4229462,4380947,4621057,4880834,5017705,5300746,5556786,5740934,6081608,6208324,6518447,6768304,6967626,7332799,7591417,8014671,8203760,8260536,8663187,8923187,9331705,9605877,9916451,10231302,10631610,10838713,11389857,11647549,11734857,12090709,12609517,13034929,13324019,13756043,14255757,14577695,14666992,15166237,15583747,16022960,16317759,16775265,17396896,17601145,18043415,18684416,18970167,19015507,19591328,20218100,20951442,21183735,21762096,22178789,22598421,22935722,23842081,24181613,24752916,25219739
Test 2,2371,9638,22076,39550,63961,89173,125640,158341,197250,249226,308676,345675,423980,500283,565962,645972,752725,787535,879015,1003178,1103477,1218815,1293784,1417299,1557229,1694097,1821263,1956795,2139500,2201811,2416595,2570695,2710763,2892597,3080073,3280765,3368132,3611918,3848936,4024059,4163433,4450447,4634859,4932365,5110840,5303579,5577573,5751515,5967393,6293645,6489746,6755493,7053725,7334819,7658758,7842680,8110374,8421637,8709003,8930707,9390483,9556012,10008818,10169549,10543121,10898079,11159255,11454143,11672857,12001123,12598212,13140714,13361205,13877974,14209311,14235312,14925423,15163628,15765844,16004661,16484999,16746710,17186162,17574358,18040674,18276991,19027788,19398605,19619904,20427231,20792763,21246134,21636013,22086579,22517932,23011855,23364100,23558791,24453099,25045651
Test 3,2454,8968,22301,40319,62558,90602,126134,165825,203112,252525,303503,369313,434031,499812,555429,644992,698268,829460,890035,1008510,1105708,1181922,1308726,1468315,1597034,1683802,1827807,1919056,2086476,2244186,2379932,2532479,2682548,2862247,2992841,3270310,3408870,3627448,3725212,4016529,4111797,4467625,4686947,4798384,5084999,5214082,5658197,5735020,6106990,6231696,6496379,6722464,6988644,7275480,7537016,7722811,8078732,8387512,8688638,9053401,9350901,9687221,9991833,10267112,10522514,10978705,11133894,11545781,11720239,12039141,12562856,12884286,13326649,13676826,14005825,14467384,14875197,15040129,15563357,16022288,16383040,16777859,17041572,17640018,18148115,18256498,18896747,19255789,19682645,20227695,20624730,21169105,21748408,21930682,22706700,23111956,23381360,23858977,24483668,25388932
Test 4,2632,9568,23701,39230,64884,89007,123855,162343,201493,250745,298311,360206,420706,482067,564706,632989,727419,809485,909896,991006,1122817,1220409,1319065,1426859,1572852,1651892,1826143,1951590,2121005,2204881,2417046,2620877,2761910,2892666,3094000,3178417,3418844,3580738,3804009,4009012,4168636,4392524,4616510,4796225,5145031,5291058,5487155,5742804,6034131,6198178,6469620,6914130,7073452,7240663,7648429,7842371,7993826,8319394,8622379,9039086,9327988,9654383,9869078,10258314,10575123,10796737,11129858,11521792,11882382,12173780,12762509,13046991,13180044,13686082,13896742,14450401,14762186,15156721,15661306,15870234,16378453,16708052,17158436,17711389,18219578,18521780,18997040,19473932,19504815,19994780,20800864,21188828,21874833,22398981,22512105,23028589,23407418,24186106,24226965,24628593
Test 5,2293,10333,23615,40129,61221,92557,118803,156362,205461,252162,298897,364174,436875,488728,555762,635441,724395,821406,917688,989634,1108721,1220140,1347422,1409258,1565782,1643766,1816011,1937073,2120656,2271304,2370043,2535858,2693354,2897179,3089826,3323380,3392208,3563100,3722327,4006794,4237863,4362208,4626056,4872277,5043959,5358850,5574269,5766249,6040296,6184630,6457602,6704168,7077920,7425264,7652622,7880133,8043782,8369088,8747587,9071521,9209932,9415183,9857616,10045197,10613572,10905123,11248990,11605507,11995789,12231934,12412829,12872407,13212490,13707393,14187267,14537167,14791416,15317952,15714929,16011263,16211615,16764018,17225174,17498969,18081186,18473012,18899999,19613682,19776703,20354713,20634824,21373383,21480077,22164499,22566778,22946947,23391800,24266500,24588711,25117767
Test 6,2664,9640,22521,39187,65441,87895,123957,164176,198579,248041,305480,360621,425350,483644,550862,642504,708759,808236,901668,1021506,1090939,1176931,1322546,1424739,1572382,1622050,1818072,1924060,2119982,2254590,2365423,2509289,2791028,2919336,3091587,3226018,3398905,3615610,3853681,4078780,4156279,4359147,4658785,4784183,4984281,5393629,5592364,5653419,6066671,6243217,6479467,6686182,6981014,7288807,7552835,7781249,8250863,8302424,8598361,8948122,9189851,9600961,9855425,10260999,10489987,10877262,11405558,11395489,11844342,12017144,12781438,13041658,13164094,13519620,14155632,14318888,14881804,15426232,15538656,15960523,16139298,16788289,17174167,17532075,17957386,18687516,19099906,19168469,19400295,20392038,20793396,21250364,21802681,22080106,22685481,23192978,23258726,23939310,24011127,25207558
Test 7,2686,9880,23317,40218,62853,91725,121762,158682,195792,241982,302167,363573,426466,487822,585009,646145,743825,803406,909908,980994,1105756,1220748,1305541,1415180,1547759,1668976,1834594,1942210,2108301,2267487,2405487,2602721,2705529,2930688,3062501,3272561,3372657,3578184,3798039,3959698,4175436,4464847,4624730,4878414,5009225,5206591,5528056,5658465,5949762,6251930,6573146,6801375,6973511,7355797,7621636,7812293,8057496,8319887,8593680,8976388,9364673,9625608,9938541,10275173,10711328,11001476,11212093,11540641,11893924,12239838,12495963,12881855,13229199,13872015,14146640,14457245,14487321,15307481,15604080,15931813,16558665,16791051,17313893,17527907,17855224,18506765,18704719,19260920,19650141,20164874,20453379,21296806,21672070,22226639,22613189,22923283,23641475,23787102,24600052,25181547
Test 8,2762,10170,21659,42667,62957,90220,119372,158229,210559,254534,301592,356167,420799,483408,559173,651806,724597,795721,915815,993729,1094485,1200509,1295172,1458332,1558308,1683896,1815338,1950922,2151031,2278779,2403157,2534266,2758370,2907255,3131132,3255057,3420496,3664453,3778274,3961385,4226536,4408674,4578260,4872851,5042528,5319645,5446236,5729256,6010711,6209425,6457970,6726987,7123300,7231149,7648154,7905098,8200732,8359892,8773103,9001095,9342510,9623233,10099898,10315471,10506690,10886908,11334259,11595795,11814764,12364589,12745335,12942989,13242904,13811870,14081470,14308315,15066763,15057848,15410830,15954782,16333877,16802778,17346561,17654823,18081260,18389726,18810548,19342428,19853648,20484681,20827260,21230930,21716854,22042924,22655772,22857941,23509921,23964992,24445030,24837735
Test 9,2606,9464,22836,41510,63305,89851,117344,157309,202568,251359,296916,366630,422153,494001,560923,625181,693083,795703,913363,1002664,1093675,1192014,1335359,1436230,1537880,1656967,1833404,1917805,2109429,2279234,2365486,2588363,2731906,2862128,3042022,3190789,3423243,3579826,3783040,4023107,4206863,4440892,4571836,4880337,5120871,5250362,5550681,5716524,5911432,6250173,6570386,6764660,7003947,7312485,7383769,7798468,8112330,8369180,8706791,9090931,9248721,9688389,10058137,10237526,10768511,10863141,11169445,11475497,11725108,12252242,12688615,12836883,13203820,13769318,13866045,14331077,14776515,15176124,15496677,16106785,16348025,16957751,17189338,17616753,18191246,18308736,19073591,19486269,19814481,20506150,20798537,21281840,21527210,22117521,22614836,23137102,23628057,24078502,24847864,24960880
Test 10,2175,9862,23583,39109,61935,89160,117506,152933,202155,252267,300186,359841,421274,488102,544395,647631,716176,823046,914350,988931,1084867,1231544,1337525,1460634,1558302,1686728,1841822,1945901,2140748,2282040,2384481,2522521,2723531,2842914,3012882,3267874,3443327,3651504,3805867,3945276,4253393,4398417,4641303,4900303,5076948,5384521,5450066,5831306,6030072,6208905,6567900,6856369,7014583,7326886,7539917,7801265,8156119,8383013,8713627,9050845,9389645,9632847,9959458,10338897,10523826,10979516,11348246,11525765,12118366,12205855,12612238,12871776,13337899,13929403,14073886,14712599,14853874,15275420,15473404,15929931,16369079,16796903,17265426,17925059,18032129,18729181,19081047,19340295,19754298,20144924,20793551,20857198,21517293,21920407,22933553,23180850,23428112,24350834,24672197,24955029
Test 11,2317,9523,24050,40298,61712,90335,125226,161769,199172,255408,307618,347882,404636,504410,567888,646670,724162,809250,899817,997226,1102799,1194611,1328944,1468118,1588972,1680937,1843592,1930325,2118896,2269453,2417029,2549282,2734878,2868347,3042969,3259283,3404723,3635067,3823203,4003628,4242664,4435302,4607590,4919441,5050229,5295511,5390759,5889387,6082140,6223329,6512714,6711296,6905240,7486915,7546895,7901934,8046609,8513285,8842188,8858206,9223980,9605323,9871632,10294147,10574957,10813285,11085961,11594826,12182970,12339313,12787623,12942437,13307872,13776456,14098638,14320437,15078596,15275750,15656882,16017265,16491194,17023024,17326250,17662596,17918822,18411524,18883715,19325950,19881974,20214417,20744727,21000567,21487534,22144154,22732074,22978586,23484645,24014687,24671195,25036508
Test 12,2442,9892,22946,39059,60953,91351,117047,160683,200155,251639,317080,359278,417404,487483,539423,667329,725526,818033,894820,1039694,1101776,1214589,1327836,1447125,1529015,1691891,1809436,2018215,2136832,2253146,2439003,2515151,2715699,2901727,3053846,3232330,3435119,3552564,3853501,3940116,4221530,4432464,4694905,4824919,5055497,5220185,5539103,5841120,5927939,6173904,6473368,6723795,7004130,7227663,7548405,7848501,7954403,8326093,8709944,9062610,9301816,9630424,10003423,10386428,10558524,10885190,11112554,11535932,11746182,12392207,12508617,13044770,13205955,13603825,14143183,14448569,14571535,15175555,15731979,15912524,16242927,16916224,17139206,17593739,18051224,18571275,19004831,19412747,19720707,20233523,20649631,21131485,21580408,21876751,22723482,22956513,23319007,23732312,24452463,25004328
