n,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,Średnia
Test 1,2271,10051,22534,39942,64181,92753,123279,160266,194218,260257,306753,367071,439923,493887,562317,652075,721877,811135,897169,1006312,1097735,1211337,1360159,1445180,1571246,1661991,1777409,1948513,2134158,2284838,2402371,2579855,2718330,2901653,3032024,3250060,3406927,3639425,3869856,4015761,4233551,4385137,4625348,4885226,5022195,5305333,5561480,5745727,6086498,6213313,6523540,6773491,6972915,7338189,7596907,8020267,8209455,8266327,8669076,8929177,9337796,9612069,9922743,10237693,10638099,10845302,11396546,11654340,11741751,12097696,12616609,13042121,13331309,13763434,14263250,14585279,14674679,15174028,15591639,16030945,16325851,16783457,17405186,17609532,18051907,18693008,18978860,19024301,19600220,20227094,20960530,21192916,21771383,22188180,22607913,22945312,23851771,24191396,24762802,25229731
Test 2,2467,9832,22371,39947,64453,89764,126332,159134,198141,250222,309765,346867,425271,501671,567457,647561,754421,789332,880905,1005174,1105568,1221011,1296077,1419689,1559721,1696691,1823954,1959585,2142391,2204800,2419688,2573887,2714058,2895989,3083562,3284351,3371824,3615711,3852832,4028050,4167529,4454642,4639146,4936758,5115330,5308168,5582261,5756307,5972283,6298635,6494833,6760678,7059018,7340217,7664241,7848267,8116061,8427424,8714893,8936701,9396572,9562207,10015105,10175945,10549611,10904668,11165949,11460930,11679747,12008111,12605307,13147908,13368491,13885365,14216802,14242900,14933114,15171417,15773734,16012651,16493091,16754898,17194451,17582740,18049164,18285582,19036476,19407400,19628798,20436224,20801852,21255317,21645304,22095968,22527420,23021445,23373789,23568577,24462986,25055641
Test 3,2546,9163,22595,40714,63050,91194,126823,166619,204003,253520,304593,370506,435325,501206,556922,646583,699958,831251,891928,1010504,1107799,1184117,1311019,1470709,1599524,1686395,1830496,1921851,2089365,2247174,2383026,2535664,2685841,2865635,2996331,3273899,3412563,3631236,3729102,4020515,4115885,4471816,4691236,4802773,5089490,5218672,5662883,5739806,6111883,6236682,6501467,6727655,6993933,7280874,7542507,7728400,8084427,8393306,8694526,9059392,9356994,9693414,9998121,10273506,10529006,10985293,11140589,11552577,11727128,12046132,12569950,12891477,13333940,13684212,14013319,14474970,14882887,15047920,15571246,16030273,16391131,16786048,17049862,17648413,18156606,18265086,18905434,19264582,19691532,20236687,20633824,21178297,21757698,21940071,22716190,23121541,23391046,23868768,24493559,25398922
Test 4,2727,9763,23993,39623,65373,89600,124547,163138,202389,251742,299403,361398,422000,483459,566199,634583,729107,811273,911785,992991,1124911,1222602,1321360,1429250,1575342,1654483,1828837,1954381,2123894,2207873,2420135,2624072,2765203,2896058,3097492,3182008,3422535,3584530,3807901,4013006,4172730,4396718,4620803,4800614,5149519,5295653,5491849,5747596,6039016,6203169,6474710,6919319,7078742,7246055,7653920,7847958,7999517,8325185,8628273,9045072,9334083,9660569,9875367,10264702,10581618,10803325,11136547,11528589,11889276,12180765,12769602,13054181,13187339,13693469,13904236,14457993,14769873,15164516,15669193,15878228,16386543,16716244,17166724,17719777,18228067,18530368,19005731,19482721,19513708,20003767,20809948,21198020,21884125,22408371,22521594,23038182,23417106,24195896,24236856,24638585
Test 5,2390,10527,23907,40525,61715,93153,119493,157153,206352,253155,299994,365362,438167,490125,557253,637028,726089,823196,919581,991628,1110810,1222335,1349715,1411651,1568269,1646354,1818702,1939868,2123546,2274300,2373130,2539050,2696637,2900572,3093323,3326976,3395898,3566893,3726220,4010790,4241949,4366393,4630348,4876670,5048448,5363439,5578958,5771039,6045186,6189623,6462692,6709359,7083212,7430655,7658113,7885728,8049474,8374879,8753483,9077511,9216025,9421375,9863905,10051584,10620062,10911712,11255682,11612298,12002683,12238920,12419925,12879598,13219779,13714781,14194759,14544758,14799098,15325743,15722820,16019248,16219708,16772211,17233463,17507360,18089676,18481606,18908692,19622473,19785593,20363700,20643911,21382574,21489368,22173886,22576268,22956538,23401494,24276291,24598601,25127752
Test 6,2758,9837,22817,39582,65933,88489,124651,164968,199473,249034,306572,361816,426643,485036,552356,644099,710452,810029,903562,1023497,1093030,1179125,1324837,1427135,1574873,1624644,1820763,1926852,2122872,2257579,2368514,2512481,2794318,2922726,3095080,3229607,3402593,3619398,3857571,4082774,4160362,4363338,4663076,4788575,4988775,5398216,5597054,5658211,6071557,6248204,6484556,6691367,6986310,7294202,7558323,7786842,8256552,8308215,8604252,8954112,9195941,9607153,9861715,10267390,10496472,10883855,11412249,11402281,11851227,12024133,12788531,13048849,13171385,13527010,14163122,14326479,14889498,15434016,15546551,15968511,16147394,16796483,17182457,17540466,17965879,18696108,19108598,19177258,19409184,20401030,20802488,21259549,21811967,22089492,22694971,23202569,23268415,23949099,24021018,25217552
Test 7,2780,10073,23613,40610,63350,92319,122456,159478,196684,242969,303256,364765,427763,489207,586502,647741,745517,805199,911801,982985,1107850,1222939,1307830,1417568,1550250,1671570,1837284,1945002,2111192,2270479,2408581,2605914,2708824,2934077,3065991,3276156,3376350,3581976,3801931,3963692,4179527,4469035,4629025,4882800,5013717,5211180,5532749,5663254,5954654,6256919,6578235,6806562,6978803,7361190,7627130,7817881,8063192,8325675,8599574,8982384,9370763,9631798,9944831,10281564,10717809,11008067,11218780,11547436,11900809,12246832,12503053,12889050,13236488,13879400,14154131,14464835,14495011,15315269,15611971,15939802,16566751,16799244,17322186,17536296,17863718,18515357,18713411,19269711,19659032,20173861,20462470,21305993,21681362,22236033,22622680,22932877,23651168,23796888,24609944,25191537
Test 8,2859,10367,21955,43059,63448,90809,120067,159020,211453,255525,302686,357361,422090,484799,560663,653399,726289,797516,917708,995725,1096580,1202703,1297462,1460721,1560799,1686486,1818033,1953717,2153924,2281767,2406248,2537458,2761658,2910645,3134627,3258645,3424189,3668245,3782165,3965375,4230632,4412861,4582550,4877243,5047011,5324239,5450927,5734048,6015597,6214415,6463060,6732181,7128592,7236541,7653644,7910689,8206421,8365683,8778994,9007089,9348598,9629425,10106187,10321858,10513181,10893495,11340951,11602587,11821655,12371579,12752428,12950182,13250196,13819261,14088963,14315904,15074454,15065634,15418714,15962777,16341971,16810966,17354857,17663212,18089749,18398320,18819238,19351217,19862535,20493673,20836351,21240122,21726134,22052312,22665263,22867534,23519613,23974782,24454921,24847724
Test 9,2702,9661,23129,41901,63799,90444,118036,158103,203458,252353,298009,367822,423442,495394,562414,626770,694775,797496,915256,1004657,1095766,1194207,1337651,1438618,1540370,1659559,1836096,1920597,2112323,2282227,2368579,2591557,2735198,2865523,3045512,3194382,3426932,3583616,3786930,4027098,4210954,4445084,4576127,4884724,5125364,5254951,5555375,5721314,5916326,6255163,6575473,6769849,7009238,7317878,7389259,7804064,8118021,8374969,8712687,9096923,9254812,9694582,10064425,10243916,10775002,10869731,11176139,11482284,11731996,12259234,12695705,12844074,13211112,13776713,13873536,14338666,14784200,15183919,15504570,16114782,16356119,16965945,17197632,17625138,18199738,18317324,19082279,19495063,19823377,20515141,20807624,21291025,21536503,22126911,22624326,23146688,23637748,24088292,24857749,24970874
Test 10,2272,10057,23875,39505,62430,89754,118201,153725,203044,253262,301278,361033,422569,489494,545889,649222,717867,824839,916243,990921,1086961,1233737,1339824,1463025,1560793,1689317,1844511,1948692,2143637,2285034,2387576,2525710,2726823,2846308,3016373,3271466,3447019,3655292,3809759,3949269,4257486,4402608,4645598,4904695,5081438,5389113,5454756,5836097,6034959,6213892,6572989,6861558,7019872,7332278,7545409,7806853,8161810,8388806,8719518,9056835,9395735,9639038,9965749,10345287,10530314,10986109,11354937,11532559,12125257,12212846,12619324,12878965,13345191,13936791,14081380,14720189,14861562,15283207,15481295,15937922,16377165,16805092,17273713,17933451,18040620,18737772,19089739,19349082,19763188,20153910,20802642,20866389,21526582,21929797,22943043,23190431,23437805,24360626,24682084,24965020
Test 11,2414,9714,24347,40688,62201,90928,125918,162566,200065,256400,308716,349073,405927,505803,569379,648260,725855,811042,901710,999220,1104890,1196806,1331234,1470513,1591462,1683525,1846288,1933114,2121787,2272442,2420127,2552469,2738163,2871739,3046464,3262872,3408414,3638858,3827090,4007620,4246749,4439494,4611878,4923834,5054722,5300100,5395452,5894178,6087032,6228315,6517806,6716486,6910528,7492308,7552379,7907525,8052300,8519078,8848081,8864198,9230071,9611507,9877922,10300541,10581446,10819876,11092653,11601618,12189860,12346307,12794715,12949627,13315163,13783847,14106130,14328029,15086283,15283541,15664769,16025259,16499284,17031216,17334543,17670988,17927313,18420115,18892408,19334736,19890866,20223411,20753815,21009759,21496823,22153546,22741566,22988177,23494332,24024475,24681086,25046497
Test 12,2536,10086,23241,39449,61445,91944,117741,161476,201051,252625,318170,360469,418698,488877,540915,668918,727219,819820,896708,1041687,1103862,1216779,1330127,1449517,1531507,1694480,1812127,2021009,2139726,2256135,2442091,2518338,2718987,2905117,3057337,3235922,3438812,3556352,3857394,3944111,4225629,4436660,4699192,4829313,5059987,5224777,5543795,5845907,5932833,6178894,6478460,6728989,7009418,7233054,7553893,7854087,7960094,8331884,8715831,9068599,9307909,9636616,10009717,10392815,10565013,10891779,11119249,11542724,11753072,12399199,12515707,13051958,13213249,13611214,14150672,14456151,14579232,15183341,15739867,15920515,16251021,16924410,17147498,17602130,18059711,18579869,19013518,19421540,19729592,20242514,20658725,21140670,21589699,21886139,22732972,22966100,23328699,23742104,24462360,25014321
Test 13,2505,11196,22445,39135,62777,89323,123738,155884,208905,253001,317300,372812,431393,503647,563084,640393,725270,832809,916389,1027346,1101698,1251331,1348156,1461787,1582953,1666082,1812282,1958026,2104814,2273603,2348830,2533688,2748259,2851964,3066173,3250006,3368465,3531755,3790004,4006507,4220664,4407578,4573076,4858089,5172893,5251032,5660340,5664957,6103604,6272996,6589584,6748287,7081435,7342141,7488856,7847588,8148425,8354390,8653812,9074197,9307868,9567605,9861509,10154480,10578027,10870330,11148078,11539024,11840816,12392385,12671723,13115607,13328339,13820286,14051475,14404820,14898544,15070258,15612425,15858899,16488717,16728030,16951327,17652706,18103420,18659108,19040225,19320970,19756311,20436129,20736173,21115033,21744563,21889635,22485158,23073557,23653537,24339407,24510392,25020432
Test 14,2657,10352,21162,43609,64211,92082,124375,166437,197763,258106,302064,364570,423778,494797,577180,648823,719937,822895,918120,1030705,1092311,1186300,1340745,1465486,1558900,1693863,1862815,1973594,2143599,2255973,2421677,2585599,2689811,2888872,3098797,3238712,3413704,3644189,3775680,4042736,4194368,4333779,4648671,4853038,5105898,5203360,5598173,5707598,5990789,6169645,6632762,6777551,6952005,7341337,7547236,7807218,8182149,8505321,8675014,9158290,9370037,9503156,9825299,10239109,10484334,10979316,11068515,11439658,11915443,12160336,12689947,12890521,13280331,13632521,14283549,14439229,14728885,15136445,15542142,15866760,16335990,16742939,17177785,17794139,17929926,18212420,18846279,19272497,19690649,20187777,20713028,20967613,21732503,21915679,22765784,23030474,23653100,24073070,24222331,24648632
Test 15,2600,9956,22568,42249,64823,88564,127238,160239,204547,251063,315934,360547,422756,482727,566001,644418,704724,802317,918280,974687,1113807,1223640,1326070,1470213,1569863,1684148,1776701,1933501,2133915,2221523,2399833,2523812,2781513,2891447,3038690,3205496,3413270,3596721,3840707,4045622,4299871,4452401,4643113,4889832,5058860,5283382,5553420,5697426,6055157,6383456,6537573,6737615,6878314,7296922,7520417,7934076,8163207,8389905,8831101,9013678,9234093,9576570,9906187,10260992,10675648,10959560,11205938,11524944,11931879,12234434,12643471,12988766,13432153,13696319,14197079,14511887,14750059,15318460,15737991,15991549,16353394,16932595,17095253,17643855,18007730,18687400,18951564,19399352,19765894,20289637,20651583,21046262,21686086,22285852,22655520,22865859,23495731,24153736,24744976,24984922
Test 16,2438,10270,22801,40349,60736,91217,121521,164756,204821,253721,300410,352796,422709,491193,565934,642085,723810,797830,918905,972706,1090112,1190897,1367091,1425119,1558950,1667778,1832174,1956804,2119535,2271512,2416477,2482061,2754582,2889463,3089815,3245970,3473851,3644008,3712734,4031916,4200520,4436052,4716731,4926976,5034442,5339804,5605666,5691254,5979189,6261615,6514420,6826346,7085367,7280648,7651324,7836147,8253893,8496994,8625831,9053268,9271678,9589674,9906225,10210472,10547633,10962670,11126237,11637755,11846777,12182759,12787022,13145085,13278973,13851424,13844715,14350891,15029767,15295810,15565936,16083888,16452703,16769006,17260353,17704220,17963009,18584994,18971340,19269231,19902656,20283970,20981818,21079402,21716475,22207026,22731609,23271724,23624288,23878506,25016095,25077242
Test 17,2289,10225,21307,39856,59796,88993,126445,161676,201678,255391,305624,362172,425748,491741,553651,632883,727681,830793,905182,1002938,1107933,1231273,1315694,1470742,1597595,1727462,1829841,1989357,2098978,2246301,2380750,2660004,2773118,2843919,3028525,3290867,3434684,3622117,3886198,4015207,4205433,4421574,4638224,4776646,4995943,5177422,5541903,5774435,5978270,6166593,6524676,6837280,6924143,7285470,7636706,7819467,8087876,8445547,8774647,8919992,9212140,9529586,9814582,10213404,10490448,10993974,11093630,11596065,11780793,12264380,12429112,12912007,13494433,13765960,14026142,14466005,14852088,15212217,15561600,16012197,16413200,16905227,17290974,17397026,18110698,18351256,18859340,19276790,19741145,20138790,20690169,20902601,21355140,22129324,22318874,23108424,23165988,23663270,24240357,24942458
Test 18,2464,9731,23344,40885,65391,89505,125834,161176,204894,247196,305094,366359,421564,489669,566988,639567,729974,806001,906389,995780,1124374,1209745,1341453,1461240,1551657,1724085,1817073,1954590,2085949,2281249,2411114,2586004,2757908,2866536,3061342,3232768,3415466,3569013,3774245,3940912,4204679,4422132,4627122,4845381,5034995,5205169,5570262,5793399,6004740,6362478,6494374,6780705,7045904,7393848,7580940,7962497,8113341,8301986,8705516,8940441,9242764,9596201,9849196,10020911,10511088,10946476,11319303,11633731,11976852,12402955,12657233,13033734,13330659,13773840,14028765,14315859,14774570,15273651,15545415,15859637,16410472,16710877,17052615,17598823,18292512,18492898,18948004,19529878,20104984,20358728,20591766,21271909,21625510,22092442,22812333,23246856,23457759,24156364,24703978,25055706
Test 19,2491,9771,21457,39972,63911,91008,119557,161311,193889,252846,295760,350273,430127,487609,564775,636065,722804,821174,925585,990641,1118691,1196386,1311286,1445575,1586637,1706154,1838795,1977935,2144524,2255824,2410453,2589730,2722986,2875141,3051929,3268781,3476164,3581117,3781330,3969310,4168484,4408088,4626341,4876276,5077054,5297150,5412435,5748876,5955016,6218018,6521883,6777677,7036682,7296552,7536351,7854191,8115504,8520955,8750600,8964796,9187867,9701666,9868072,10294924,10570270,10934100,11205171,11620980,11994681,12257710,12290004,12893481,13409308,13715224,13957026,14340953,14815873,15105396,15500602,16035524,16465271,16836494,17529638,17461954,18170813,18564492,19054002,19276082,19779617,20258996,20625251,21051327,21468899,21939785,22361466,23227238,23796619,24061848,24184496,24997626
Test 20,2473,9619,22225,39905,63628,92116,127037,151370,203028,246880,300865,372305,433463,471916,560711,641957,720093,833044,916641,997651,1096851,1221323,1347968,1462959,1574066,1742180,1804822,1906649,2124643,2197275,2371106,2573193,2731946,2877706,3064056,3216456,3442780,3635757,3849965,4003682,4175536,4430913,4612936,4858622,5134480,5319295,5583932,5678439,5951278,6280387,6475498,6905725,7018379,7283801,7621218,8045014,8090996,8514131,8770171,8981544,9209455,9629915,9885594,10251752,10590823,10949177,11152565,11658395,11944636,12206464,12519718,12927724,13154463,13710627,13963173,14532515,14986253,15327559,15739115,16072056,16436060,16843302,17245094,17374702,18107030,18518998,18879536,19449393,19691589,20325140,20728644,20935841,21658200,22137153,22659212,23077334,23426569,23981152,24551044,25052337
Test 21,2816,10415,22862,38724,60648,91712,125036,156805,202882,260296,310891,368406,429715,479151,558259,632776,717843,814589,897947,1005712,1092685,1244738,1303971,1414540,1586422,1684610,1827949,1952621,2156078,2257369,2399117,2566353,2727306,2905191,3014675,3184927,3403983,3650725,3843462,3986792,4129938,4436215,4653755,4787325,5078889,5398828,5513504,5734635,5948696,6226847,6433350,6709064,7126984,7204789,7638358,7821897,8128017,8456416,8692919,8996630,9372646,9664409,9833484,10273215,10581082,10700562,11188643,11572008,11793663,12334777,12555779,13031081,13372765,13776087,14030103,14573322,14973054,15274247,15678296,15981844,16517357,16905561,17270206,17647683,17955943,18402294,18730078,19272571,19865212,20156316,20764670,21235533,21781702,22136314,22424218,22965044,23325055,23972198,24589906,25230825
